Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
131,Malaysia,22014,Gross Domestic Product per capita,6119,Value US$,2012,2012,,10779.504483,Fc,
131,Malaysia,22014,Gross Domestic Product per capita,6119,Value US$,2013,2013,,10882.259575,Fc,
131,Malaysia,22014,Gross Domestic Product per capita,6119,Value US$,2014,2014,,11183.869684000001,Fc,
131,Malaysia,22014,Gross Domestic Product per capita,6119,Value US$,2015,2015,,9808.7171,Fc,
131,Malaysia,22014,Gross Domestic Product per capita,6119,Value US$,2016,2016,,9659.564758,Fc,
131,Malaysia,22014,Gross Domestic Product per capita,6119,Value US$,2017,2017,,10085.774790000001,Fc,
131,Malaysia,22014,Gross Domestic Product per capita,6119,Value US$,2018,2018,,11190.754009,Fc,
