Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
131,Malaysia,6620,Cropland,5110,Area,2012,2012,1000 ha,7544.2,Fm
131,Malaysia,6620,Cropland,5110,Area,2013,2013,1000 ha,7774.3,Q
131,Malaysia,6620,Cropland,5110,Area,2014,2014,1000 ha,7804.0,Fm
131,Malaysia,6620,Cropland,5110,Area,2015,2015,1000 ha,8284.97,Q
131,Malaysia,6620,Cropland,5110,Area,2016,2016,1000 ha,8305.7,Fm
131,Malaysia,6620,Cropland,5110,Area,2017,2017,1000 ha,8305.2,Fm
131,Malaysia,6620,Cropland,5110,Area,2018,2018,1000 ha,8305.2,Fm
